"set","instance","variation","incompatibilities","replication","makespan","time"
"carlier",2,"I",1,43,19876,253
"carlier",2,"I",1,44,19876,52
"carlier",2,"I",1,45,19876,35
"carlier",2,"I",1,46,19876,78
"carlier",2,"I",1,47,19876,24
"carlier",2,"I",1,48,19876,62
"carlier",2,"I",1,49,19876,38
"carlier",2,"I",2,0,19876,0
"carlier",2,"I",2,1,19876,6
"carlier",2,"I",2,2,19876,81
"carlier",2,"I",2,3,19876,19
"carlier",2,"I",2,4,19876,37
"carlier",2,"I",2,5,19876,24
"carlier",2,"I",2,6,19876,12
"carlier",2,"I",2,7,19876,36
"carlier",2,"I",2,8,19876,81
"carlier",2,"I",2,9,19876,2
"carlier",2,"I",2,10,19876,0
"carlier",2,"I",2,11,19876,1
"carlier",2,"I",2,12,19876,94
"carlier",2,"I",2,13,19876,22
"carlier",2,"I",2,14,19876,5
"carlier",2,"I",2,15,19876,36
"carlier",2,"I",2,16,19876,160
"carlier",2,"I",2,17,19876,74
"carlier",2,"I",2,18,19876,66
"carlier",2,"I",2,19,19876,18
"carlier",2,"I",2,20,19876,0
"carlier",2,"I",2,21,19876,15
"carlier",2,"I",2,22,19876,54
"carlier",2,"I",2,23,19876,40
"carlier",2,"I",2,24,19876,66
"carlier",2,"I",2,25,19876,34
"carlier",2,"I",2,26,19876,78
"carlier",2,"I",2,27,19876,23
"carlier",2,"I",2,28,19876,45
"carlier",2,"I",2,29,19876,68
"carlier",2,"I",2,30,19876,3
"carlier",2,"I",2,31,19876,35
"carlier",2,"I",2,32,19876,44
"carlier",2,"I",2,33,19876,50
"carlier",2,"I",2,34,19876,20
"carlier",2,"I",2,35,19876,18
"carlier",2,"I",2,36,19876,10
"carlier",2,"I",2,37,19876,9
"carlier",2,"I",2,38,19876,61
"carlier",2,"I",2,39,19876,15
"carlier",2,"I",2,40,19876,0
"carlier",2,"I",2,41,19876,11
"carlier",2,"I",2,42,19876,17
"carlier",2,"I",2,43,19876,76
"carlier",2,"I",2,44,19876,1
"carlier",2,"I",2,45,19876,47
"carlier",2,"I",2,46,19876,21
"carlier",2,"I",2,47,19876,74
"carlier",2,"I",2,48,19876,1
"carlier",2,"I",2,49,19876,44
"carlier",2,"i",0,0,10224,0
"carlier",2,"i",0,1,10224,6
"carlier",2,"i",0,2,10224,2
"carlier",2,"i",0,3,10224,13
"carlier",2,"i",0,4,10224,19
"carlier",2,"i",0,5,10224,23
"carlier",2,"i",0,6,10224,1
"carlier",2,"i",0,7,10224,37
"carlier",2,"i",0,8,10224,6
"carlier",2,"i",0,9,10224,5
"carlier",2,"i",0,10,10224,1
"carlier",2,"i",0,11,10224,5
"carlier",2,"i",0,12,10224,7
"carlier",2,"i",0,13,10224,19
"carlier",2,"i",0,14,10224,23
"carlier",2,"i",0,15,10224,73
"carlier",2,"i",0,16,10224,106
"carlier",2,"i",0,17,10224,19
"carlier",2,"i",0,18,10224,3
"carlier",2,"i",0,19,10224,10
"carlier",2,"i",0,20,10224,0
"carlier",2,"i",0,21,10224,11
"carlier",2,"i",0,22,10224,14
"carlier",2,"i",0,23,10224,9
"carlier",2,"i",0,24,10224,3
"carlier",2,"i",0,25,10224,25
"carlier",2,"i",0,26,10224,1
"carlier",2,"i",0,27,10224,61
"carlier",2,"i",0,28,10224,14
"carlier",2,"i",0,29,10224,0
"carlier",2,"i",0,30,10224,0
"carlier",2,"i",0,31,10224,7
"carlier",2,"i",0,32,10224,13
"carlier",2,"i",0,33,10224,10
"carlier",2,"i",0,34,10224,61
"carlier",2,"i",0,35,10224,29
"carlier",2,"i",0,36,10224,10
"carlier",2,"i",0,37,10224,14
"carlier",2,"i",0,38,10224,34
"carlier",2,"i",0,39,10224,55
"carlier",2,"i",0,40,10224,81
"carlier",2,"i",0,41,10224,0
"carlier",2,"i",0,42,10224,0
"carlier",2,"i",0,43,10224,17
"carlier",2,"i",0,44,10224,10
"carlier",2,"i",0,45,10224,3
"carlier",2,"i",0,46,10224,31
"carlier",2,"i",0,47,10224,18
"carlier",2,"i",0,48,10224,2
"carlier",2,"i",0,49,10224,2
"carlier",2,"i",1,0,10224,7
"carlier",2,"i",1,1,10224,34
"carlier",2,"i",1,2,10224,5
"carlier",2,"i",1,3,10224,0
"carlier",2,"i",1,4,10224,13
"carlier",2,"i",1,5,10224,5
"carlier",2,"i",1,6,10224,15
"carlier",2,"i",1,7,10224,2
"carlier",2,"i",1,8,10224,1
"carlier",2,"i",1,9,10224,0
"carlier",2,"i",1,10,10224,0
"carlier",2,"i",1,11,10224,23
"carlier",2,"i",1,12,10224,13
"carlier",2,"i",1,13,10224,13
"carlier",2,"i",1,14,10224,21
"carlier",2,"i",1,15,10224,83
"carlier",2,"i",1,16,10224,9
"carlier",2,"i",1,17,10224,20
"carlier",2,"i",1,18,10224,45
"carlier",2,"i",1,19,10224,5
"carlier",2,"i",1,20,10224,0
"carlier",2,"i",1,21,10224,37
"carlier",2,"i",1,22,10224,5
"carlier",2,"i",1,23,10224,5
"carlier",2,"i",1,24,10224,18
"carlier",2,"i",1,25,10224,3
"carlier",2,"i",1,26,10224,5
"carlier",2,"i",1,27,10224,18
"carlier",2,"i",1,28,10224,24
"carlier",2,"i",1,29,10224,12
"carlier",2,"i",1,30,10224,0
"carlier",2,"i",1,31,10224,10
"carlier",2,"i",1,32,10224,5
"carlier",2,"i",1,33,10224,1
"carlier",2,"i",1,34,10224,7
"carlier",2,"i",1,35,10224,24
"carlier",2,"i",1,36,10224,14
"carlier",2,"i",1,37,10224,5
"carlier",2,"i",1,38,10224,24
"carlier",2,"i",1,39,10224,86
"carlier",2,"i",1,40,10224,0
"carlier",2,"i",1,41,10224,15
"carlier",2,"i",1,42,10224,21
"carlier",2,"i",1,43,10224,11
"carlier",2,"i",1,44,10224,1
"carlier",2,"i",1,45,10224,2
"carlier",2,"i",1,46,10224,20
"carlier",2,"i",1,47,10224,1
"carlier",2,"i",1,48,10224,10
"carlier",2,"i",1,49,10224,12
"carlier",2,"i",2,0,10398,0
"carlier",2,"i",2,1,10398,40
"carlier",2,"i",2,2,10398,15
"carlier",2,"i",2,3,10398,5
"carlier",2,"i",2,4,10398,44
"carlier",2,"i",2,5,10398,10
"carlier",2,"i",2,6,10398,46
"carlier",2,"i",2,7,10398,177
"carlier",2,"i",2,8,10398,54
"carlier",2,"i",2,9,10398,53
"carlier",2,"i",2,10,10398,0
"carlier",2,"i",2,11,10398,20
"carlier",2,"i",2,12,10398,23
"carlier",2,"i",2,13,10398,2
"carlier",2,"i",2,14,10398,1
"carlier",2,"i",2,15,10398,10
"carlier",2,"i",2,16,10398,17
"carlier",2,"i",2,17,10398,0
"carlier",2,"i",2,18,10398,5
"carlier",2,"i",2,19,10398,14
"carlier",2,"i",2,20,10398,0
"carlier",2,"i",2,21,10398,18
"carlier",2,"i",2,22,10398,3
"carlier",2,"i",2,23,10398,6
"carlier",2,"i",2,24,10398,1
"carlier",2,"i",2,25,10398,2
"carlier",2,"i",2,26,10398,10
"carlier",2,"i",2,27,10398,10
"carlier",2,"i",2,28,10398,7
"carlier",2,"i",2,29,10398,22
"carlier",2,"i",2,30,10398,5
"carlier",2,"i",2,31,10398,20
"carlier",2,"i",2,32,10398,12
"carlier",2,"i",2,33,10398,7
"carlier",2,"i",2,34,10398,1
"carlier",2,"i",2,35,10398,6
"carlier",2,"i",2,36,10398,5
"carlier",2,"i",2,37,10398,14
"carlier",2,"i",2,38,10398,7
"carlier",2,"i",2,39,10398,12
"carlier",2,"i",2,40,10398,0
"carlier",2,"i",2,41,10398,5
"carlier",2,"i",2,42,10398,7
"carlier",2,"i",2,43,10398,6
"carlier",2,"i",2,44,10398,9
"carlier",2,"i",2,45,10398,15
"carlier",2,"i",2,46,10398,33
"carlier",2,"i",2,47,10398,52
"carlier",2,"i",2,48,10398,13
"carlier",2,"i",2,49,10398,7
"carlier",3,"I",0,0,19498,18877
"carlier",3,"I",0,1,19554,0
"carlier",3,"I",0,2,19498,49671
"carlier",3,"I",0,3,19554,5
"carlier",3,"I",0,4,19498,36432
"carlier",3,"I",0,5,19498,1587
"carlier",3,"I",0,6,19498,12949
"carlier",3,"I",0,7,19498,40958
"carlier",3,"I",0,8,19554,7
"carlier",3,"I",0,9,19554,1
"carlier",3,"I",0,10,19498,51582
"carlier",3,"I",0,11,19554,33
"carlier",3,"I",0,12,19498,7193
"carlier",3,"I",0,13,19554,13
"carlier",3,"I",0,14,19554,6
"carlier",3,"I",0,15,19554,12
"carlier",3,"I",0,16,19554,6
"carlier",3,"I",0,17,19498,11455
"carlier",3,"I",0,18,19554,6
"carlier",3,"I",0,19,19498,29568
"carlier",3,"I",0,20,19554,14
"carlier",3,"I",0,21,19498,3381
"carlier",3,"I",0,22,19498,53550
"carlier",3,"I",0,23,19498,1819
"carlier",3,"I",0,24,19498,51213
"carlier",3,"I",0,25,19498,14323
"carlier",3,"I",0,26,19554,2
"carlier",3,"I",0,27,19554,15
"carlier",3,"I",0,28,19498,18835
"carlier",3,"I",0,29,19554,33
"carlier",3,"I",0,30,19498,25219
"carlier",3,"I",0,31,19498,17898
"carlier",3,"I",0,32,19498,12570
"carlier",3,"I",0,33,19554,2
"carlier",3,"I",0,34,19498,28796
"carlier",3,"I",0,35,19498,18008
"carlier",3,"I",0,36,19498,32324
"carlier",3,"I",0,37,19498,19585
"carlier",3,"I",0,38,19498,53026
"carlier",3,"I",0,39,19498,1158
"carlier",3,"I",0,40,19498,8247
"carlier",3,"I",0,41,19554,14
"carlier",3,"I",0,42,19498,25122
"carlier",3,"I",0,43,19498,8929
"carlier",3,"I",0,44,19498,1160
"carlier",3,"I",0,45,19498,5348
"carlier",3,"I",0,46,19498,16849
"carlier",3,"I",0,47,19554,5
"carlier",3,"I",0,48,19498,905
"carlier",3,"I",0,49,19498,22520
"carlier",3,"I",1,0,19554,1
"carlier",3,"I",1,1,19498,33400
"carlier",3,"I",1,2,19498,43662
"carlier",3,"I",1,3,19498,47318
"carlier",3,"I",1,4,19498,31741
"carlier",3,"I",1,5,19554,1
"carlier",3,"I",1,6,19554,9
"carlier",3,"I",1,7,19554,20
"carlier",3,"I",1,8,19554,0
"carlier",3,"I",1,9,19554,10
